customerID,tenure,Contract,PaymentMethod,MonthlyCharges,TotalCharges,TechSupport,NumServices,Churn
C10139,8,Month-to-month,Bank transfer,99.23,795.0,0,6,1
C10140,7,Month-to-month,Bank transfer,25.83,179.46,0,7,0
C10141,5,Month-to-month,Mailed check,50.8,277.25,1,3,0
C10142,43,Two year,Electronic check,69.46,2836.09,0,1,0
C10143,66,One year,Bank transfer,56.03,3630.51,1,7,0
C10144,42,Month-to-month,Electronic check,74.91,2990.16,1,5,0
C10145,19,Month-to-month,Mailed check,111.51,1961.46,1,7,0
C10146,71,Month-to-month,Bank transfer,100.94,7178.91,0,7,1
C10147,27,Month-to-month,Credit card,37.58,928.85,0,3,0
C10148,69,Two year,Electronic check,85.52,5492.84,0,7,0
C10149,21,One year,Electronic check,59.91,1285.94,0,8,0
C10150,29,Month-to-month,Bank transfer,116.49,3288.92,1,4,0
C10151,59,One year,Credit card,69.3,4347.83,1,3,0
C10152,32,Month-to-month,Credit card,107.16,3281.71,0,2,0
C10153,65,Month-to-month,Credit card,27.35,1914.51,0,8,0
C10154,50,Month-to-month,Mailed check,57.39,2711.41,0,6,0
C10155,42,One year,Mailed check,21.91,967.86,1,3,0
C10156,10,Month-to-month,Mailed check,103.17,1088.69,1,2,1
C10157,30,Month-to-month,Credit card,24.41,751.63,1,1,0
C10158,37,Month-to-month,Bank transfer,42.54,1625.72,1,3,1
C10159,8,Two year,Electronic check,57.83,475.19,1,1,0
C10160,2,Month-to-month,Electronic check,53.17,98.54,0,6,1
C10161,22,Two year,Credit card,118.04,2758.66,1,3,1
C10162,58,Month-to-month,Mailed check,22.47,1255.19,0,1,0
C10163,69,Month-to-month,Electronic check,94.84,6356.77,0,5,0
C10164,42,Month-to-month,Bank transfer,62.57,2835.36,1,8,0
C10165,63,One year,Bank transfer,112.28,7394.9,1,2,0
C10166,23,Month-to-month,Bank transfer,28.46,629.25,1,5,0
C10167,56,Month-to-month,Electronic check,92.14,4927.19,1,7,0
C10168,9,One year,Credit card,55.06,460.14,0,1,0
C10169,4,Month-to-month,Mailed check,97.41,380.51,1,6,0
C10170,57,Two year,Bank transfer,63.28,3628.21,0,3,0
C10171,31,Two year,Electronic check,93.04,3122.79,1,7,0
C10172,57,Month-to-month,Bank transfer,88.79,4679.06,1,4,0
C10173,56,Two year,Bank transfer,86.12,5200.18,0,5,0
C10174,22,One year,Mailed check,30.38,633.17,0,3,0
C10175,47,Month-to-month,Mailed check,80.42,3635.57,0,2,0
C10176,67,Month-to-month,Credit card,101.98,7478.18,0,3,0
C10177,66,Month-to-month,Mailed check,96.31,6360.1,0,7,0
C10178,66,Month-to-month,Mailed check,34.52,2482.22,0,6,0
C10179,10,Month-to-month,Bank transfer,30.77,307.86,1,2,1
C10180,19,Month-to-month,Bank transfer,103.94,1809.45,0,1,0
C10181,33,One year,Credit card,81.05,2882.74,0,8,0
C10182,38,Month-to-month,Credit card,48.34,1711.3,0,1,0
C10183,43,One year,Bank transfer,105.87,4985.23,1,6,0
C10184,71,Month-to-month,Mailed check,65.58,4421.43,1,8,0
C10185,49,Two year,Credit card,43.32,2306.82,0,6,0
C10186,20,Month-to-month,Credit card,68.87,1246.04,1,8,0
C10187,30,Month-to-month,Bank transfer,22.96,702.23,1,8,0
C10188,36,Month-to-month,Electronic check,61.95,2347.89,1,6,0
C10189,72,One year,Bank transfer,74.43,5363.52,0,7,0
C10190,15,Month-to-month,Electronic check,58.18,917.2,1,6,1
C10191,64,Month-to-month,Electronic check,31.98,2054.63,1,8,0
C10192,17,Month-to-month,Bank transfer,34.58,588.72,1,6,0
C10193,72,Month-to-month,Electronic check,55.57,4068.02,0,7,0
C10194,3,One year,Bank transfer,116.64,355.77,0,1,1
C10195,48,Month-to-month,Mailed check,21.22,920.56,0,4,0
C10196,26,Month-to-month,Credit card,107.03,2793.18,0,3,0
C10197,61,Month-to-month,Bank transfer,115.58,7115.63,1,6,0
C10198,33,One year,Mailed check,115.65,3606.44,1,5,0
C10199,36,One year,Credit card,50.34,1735.32,1,5,0
C10200,50,Two year,Mailed check,47.63,2308.32,1,2,0
C10201,61,Month-to-month,Bank transfer,113.17,6363.84,1,3,0
C10202,6,One year,Mailed check,83.07,489.78,0,2,0
C10203,17,Month-to-month,Mailed check,59.5,1041.95,1,8,0
C10204,36,One year,Electronic check,84.53,3294.58,0,1,0
C10205,22,Two year,Electronic check,119.71,2468.39,1,8,0
C10206,37,Two year,Electronic check,48.44,1715.05,0,6,0
C10207,63,Two year,Mailed check,104.81,6197.35,1,5,0
C10208,58,One year,Mailed check,19.44,1142.8,1,5,0
C10209,51,Two year,Bank transfer,26.85,1501.27,0,3,0
C10210,0,Month-to-month,Mailed check,63.57,0.0,1,6,1
C10211,1,Month-to-month,Bank transfer,88.66,88.05,0,2,1
C10212,39,One year,Bank transfer,55.49,2362.07,0,4,0
C10213,47,Month-to-month,Credit card,95.25,4638.22,0,4,0
C10214,67,Month-to-month,Bank transfer,25.97,1854.4,0,1,0
C10215,68,Month-to-month,Bank transfer,105.16,7408.73,1,2,0
C10216,65,Month-to-month,Electronic check,64.25,4229.63,1,8,0
C10217,39,One year,Credit card,43.95,1740.9,0,4,1
C10218,8,Month-to-month,Electronic check,113.33,821.73,0,8,1
C10219,53,Month-to-month,Credit card,63.75,3095.1,1,7,0
C10220,17,One year,Bank transfer,30.1,,1,3,0
C10221,2,Two year,Credit card,86.7,184.61,1,7,0
C10222,35,Month-to-month,Electronic check,21.29,706.5,1,1,1
C10223,57,One year,Electronic check,42.96,2418.83,0,7,0
C10224,7,Month-to-month,Bank transfer,41.88,277.73,1,6,0
C10225,66,Month-to-month,Bank transfer,46.07,3074.58,0,7,0
C10226,48,One year,Bank transfer,89.02,4101.95,1,3,0
C10227,30,Two year,Bank transfer,105.47,3426.56,0,8,0
C10228,71,Month-to-month,Credit card,42.77,3125.77,0,6,0
C10229,11,Month-to-month,Mailed check,23.26,274.98,1,1,1
C10230,71,Month-to-month,Mailed check,106.69,8267.37,1,5,1
C10231,15,One year,Credit card,111.27,1807.62,0,7,0
C10232,48,Month-to-month,Bank transfer,49.46,2357.94,1,8,0
C10233,40,Two year,Bank transfer,49.92,2093.15,0,4,1
C10234,53,Month-to-month,Mailed check,51.65,2737.07,1,4,0
C10235,32,One year,Credit card,116.58,3483.03,1,8,0
C10236,69,Month-to-month,Electronic check,71.44,5189.96,0,1,0
C10237,29,Month-to-month,Mailed check,18.93,500.71,1,6,0
C10238,61,One year,Electronic check,18.67,1028.79,1,1,0
C10239,36,Month-to-month,Credit card,100.23,3909.97,0,2,0
C10240,67,Month-to-month,Bank transfer,45.27,2956.08,1,2,0
C10241,28,Month-to-month,Electronic check,84.68,2326.12,0,2,1
C10242,1,One year,Electronic check,68.99,69.9,1,6,0
C10243,67,Two year,Mailed check,39.56,2410.15,1,5,0
C10244,69,One year,Electronic check,36.29,2735.11,1,1,0
C10245,50,Two year,Bank transfer,34.57,1789.7,0,7,0
C10246,17,One year,Electronic check,69.08,1079.87,1,1,0
C10247,50,Two year,Bank transfer,21.02,1049.02,1,8,0
C10248,55,Month-to-month,Credit card,26.74,1533.38,1,4,0
C10249,19,One year,Bank transfer,54.79,1133.24,0,1,0
C10250,13,Month-to-month,Mailed check,61.96,729.16,1,2,0
C10251,41,Two year,Electronic check,47.77,2046.64,1,2,0
C10252,31,One year,Mailed check,87.9,2598.97,0,3,0
C10253,21,Month-to-month,Credit card,48.57,969.32,0,6,1
C10254,25,Month-to-month,Mailed check,49.08,1310.83,1,6,0
C10255,56,Month-to-month,Mailed check,48.64,2622.61,0,8,0
C10256,37,One year,Credit card,116.71,4211.22,0,6,0
C10257,14,Two year,Mailed check,78.41,1197.2,0,1,0
C10258,56,One year,Electronic check,101.53,5275.38,1,8,0
C10259,19,One year,Credit card,25.54,488.6,1,7,0
C10260,53,Month-to-month,Bank transfer,89.57,5002.57,0,2,0
C10261,5,One year,Credit card,116.61,537.1,1,7,1
C10262,66,One year,Mailed check,63.47,4417.19,1,8,0
C10263,44,Two year,Credit card,28.66,1164.21,1,2,0
C10264,39,Month-to-month,Mailed check,71.15,2551.54,1,8,0
C10265,8,Month-to-month,Electronic check,20.3,168.15,1,2,1
C10266,31,Month-to-month,Mailed check,51.76,1518.51,1,8,0
C10267,55,Month-to-month,Mailed check,63.86,3164.2,1,7,0
C10268,8,One year,Mailed check,55.31,408.32,0,8,0
C10269,40,One year,Credit card,77.87,3330.04,1,6,0
C10270,38,Two year,Electronic check,86.56,3117.3,1,2,0
C10271,18,Month-to-month,Credit card,78.84,1329.93,1,7,0
C10272,22,One year,Credit card,47.46,1115.53,0,6,0
C10273,1,Month-to-month,Mailed check,101.15,104.89,1,7,1
C10274,62,Month-to-month,Electronic check,99.18,5574.45,0,5,0
C10275,58,One year,Credit card,74.07,4096.63,0,2,0
C10276,69,Two year,Electronic check,95.52,7236.49,1,4,0
C10277,31,Month-to-month,Electronic check,63.87,1955.84,1,2,0
C10278,30,Month-to-month,Bank transfer,105.83,3248.65,1,3,0
C10279,7,One year,Bank transfer,78.88,605.06,0,6,0
C10280,65,Two year,Electronic check,31.83,2272.74,1,1,0
C10281,16,Month-to-month,Bank transfer,102.51,1522.78,1,8,0
C10282,48,Month-to-month,Electronic check,59.09,2810.62,1,6,0
C10283,11,One year,Credit card,82.75,964.08,1,2,0
C10284,27,Month-to-month,Bank transfer,102.49,2803.84,1,3,0
C10285,6,Month-to-month,Credit card,19.66,116.93,0,8,0
C10286,16,Two year,Bank transfer,34.22,564.45,1,2,0
C10287,21,Month-to-month,Bank transfer,92.05,,0,7,0
C10288,61,Month-to-month,Mailed check,70.98,3903.78,1,1,0
C10289,54,One year,Credit card,25.22,1424.73,1,2,0
C10290,38,Month-to-month,Mailed check,83.44,3190.07,0,2,1
C10291,56,Month-to-month,Mailed check,82.06,4702.04,0,7,0
C10292,12,Month-to-month,Electronic check,78.14,1024.56,1,6,1
C10293,35,One year,Mailed check,74.45,2787.05,1,1,0
C10294,66,One year,Mailed check,94.28,6575.67,1,1,0
C10295,49,Month-to-month,Credit card,83.08,4467.33,0,1,0
C10296,72,Month-to-month,Mailed check,95.8,7018.12,0,1,1
C10297,7,Two year,Credit card,69.67,507.37,1,7,1
C10298,19,Month-to-month,Bank transfer,26.06,498.74,0,3,0
C10299,8,Month-to-month,Credit card,92.46,701.88,0,1,0
C10300,7,Month-to-month,Mailed check,30.18,197.06,0,1,0
C10301,33,Month-to-month,Mailed check,94.48,3287.1,1,2,1
C10302,34,Month-to-month,Bank transfer,90.66,3054.82,0,8,0
C10303,72,Month-to-month,Mailed check,44.02,2997.28,0,2,0
C10304,1,Month-to-month,Credit card,55.13,59.88,0,3,0
C10305,53,Month-to-month,Mailed check,60.46,3413.3,1,5,0
C10306,6,Month-to-month,Electronic check,115.32,742.57,0,8,0
C10307,11,One year,Electronic check,55.63,641.25,1,5,0
C10308,63,Two year,Mailed check,92.71,5264.11,0,3,0
C10309,44,One year,Electronic check,115.0,5413.19,0,7,0
C10310,67,Two year,Credit card,68.19,4762.13,0,3,0
C10311,66,Month-to-month,Bank transfer,64.76,4278.8,0,2,0
C10312,72,Month-to-month,Mailed check,42.15,3293.39,1,6,0
C10313,41,Month-to-month,Bank transfer,41.83,1811.05,0,3,0
C10314,21,Month-to-month,Bank transfer,59.46,1236.65,1,4,0
C10315,11,Month-to-month,Bank transfer,102.29,1200.79,0,4,1
C10316,31,Two year,Credit card,70.37,2321.12,1,5,0
C10317,57,One year,Mailed check,27.66,1457.26,0,3,0
C10318,28,Month-to-month,Credit card,55.97,1698.0,0,5,1
C10319,25,Two year,Credit card,100.55,2323.98,0,6,0
C10320,55,Two year,Credit card,68.6,3526.1,1,7,0
C10321,35,Month-to-month,Mailed check,21.53,753.38,0,5,0
C10322,11,Month-to-month,Mailed check,60.76,733.78,0,1,0
C10323,69,One year,Bank transfer,111.09,7313.28,1,7,0
C10324,3,Two year,Bank transfer,23.98,75.78,1,6,0
C10325,12,Month-to-month,Mailed check,45.19,550.49,0,4,0
C10326,22,Month-to-month,Bank transfer,100.23,2294.79,1,1,0
C10327,18,One year,Mailed check,103.34,1739.42,1,5,1
C10328,28,Month-to-month,Credit card,18.07,489.85,0,3,1
C10329,41,Month-to-month,Mailed check,77.83,3412.16,0,2,0
C10330,47,One year,Credit card,77.77,3525.51,1,5,0
C10331,55,One year,Credit card,84.22,4375.7,0,6,0
C10332,39,One year,Bank transfer,30.99,1293.4,0,7,0
C10333,23,One year,Mailed check,83.24,1776.92,0,8,0
C10334,40,Month-to-month,Electronic check,101.81,3674.44,1,8,0
C10335,44,Month-to-month,Electronic check,91.48,3975.39,0,7,0
C10336,52,Month-to-month,Credit card,53.83,2983.24,1,2,0
C10337,28,Month-to-month,Electronic check,99.52,2519.09,0,5,1
C10338,43,Month-to-month,Credit card,34.41,1431.68,0,2,0
C10339,3,Month-to-month,Mailed check,79.95,218.43,1,3,1
C10340,52,One year,Bank transfer,85.38,4080.95,1,4,0
C10341,62,Month-to-month,Bank transfer,18.39,1214.04,0,5,0
C10342,12,Month-to-month,Mailed check,83.1,1065.76,0,8,1
C10343,62,Two year,Bank transfer,27.3,1648.94,1,3,0
C10344,5,Month-to-month,Credit card,44.87,208.7,1,1,0
C10345,44,Two year,Credit card,117.01,5499.35,0,1,0
C10346,68,One year,Credit card,76.42,4987.5,0,8,0
C10347,4,Month-to-month,Mailed check,30.27,131.95,1,3,1
C10348,24,Month-to-month,Credit card,25.99,685.8,1,4,0
C10349,33,Month-to-month,Electronic check,26.88,950.31,1,6,0
C10350,1,One year,Credit card,29.48,29.87,0,3,0
C10351,12,Two year,Electronic check,98.15,1122.24,1,7,0
C10352,60,Month-to-month,Bank transfer,59.1,3472.1,1,1,0
C10353,6,One year,Bank transfer,109.5,698.7,0,6,0
C10354,62,Two year,Electronic check,117.19,6975.85,0,3,0
C10355,41,Month-to-month,Credit card,79.71,3230.01,0,4,0
C10356,62,One year,Bank transfer,101.74,6069.6,0,2,0
C10357,67,Two year,Electronic check,35.72,2273.33,0,1,0
C10358,25,Month-to-month,Credit card,69.52,1648.3,0,1,0
C10359,60,One year,Bank transfer,53.11,3049.62,1,2,0
C10360,27,Two year,Mailed check,87.12,2358.49,1,7,0
C10361,1,Month-to-month,Mailed check,84.03,79.87,0,4,0
C10362,35,Month-to-month,Credit card,104.86,3463.26,1,5,0
C10363,50,One year,Electronic check,70.17,3367.09,1,5,0
C10364,35,One year,Bank transfer,44.64,1453.01,1,4,0
C10365,51,One year,Mailed check,91.57,4445.37,1,5,0
C10366,4,One year,Mailed check,53.0,229.24,0,8,0
C10367,21,Two year,Mailed check,47.97,1055.91,1,3,0
C10368,23,Two year,Bank transfer,84.75,1841.39,0,6,0
C10369,42,Month-to-month,Bank transfer,65.3,2497.78,0,8,0
C10370,9,Month-to-month,Mailed check,69.05,610.65,1,5,0
C10371,25,Month-to-month,Credit card,32.61,813.23,0,2,0
C10372,7,Month-to-month,Bank transfer,39.36,274.95,0,3,0
C10373,55,One year,Credit card,61.76,3060.29,1,7,0
C10374,1,Two year,Mailed check,19.83,18.74,0,4,0
C10375,13,Month-to-month,Bank transfer,35.04,496.38,0,5,0
C10376,67,Month-to-month,Mailed check,52.96,3725.82,1,6,0
C10377,51,Month-to-month,Mailed check,92.17,4920.73,0,4,0
C10378,46,One year,Electronic check,56.27,2637.04,1,1,0
C10379,2,Month-to-month,Electronic check,60.51,122.16,1,2,1
C10380,1,Month-to-month,Electronic check,85.57,84.18,1,3,0
C10381,15,Month-to-month,Electronic check,68.77,1099.94,0,5,0
C10382,52,Month-to-month,Electronic check,73.91,3713.11,0,8,1
C10383,14,Two year,Credit card,33.21,485.73,0,2,1
C10384,29,Month-to-month,Bank transfer,44.94,1384.89,0,2,0
C10385,46,Two year,Bank transfer,61.45,,0,2,0
C10386,17,One year,Mailed check,51.52,942.14,1,5,0
C10387,23,Month-to-month,Credit card,116.16,2773.15,1,7,0
C10388,21,Month-to-month,Electronic check,118.12,2438.86,0,2,1
C10389,56,Month-to-month,Credit card,97.47,5439.85,0,3,0
C10390,56,Month-to-month,Bank transfer,84.81,5203.3,0,4,0
C10391,66,One year,Electronic check,62.15,3975.36,0,8,0
C10392,71,Two year,Electronic check,19.19,1458.37,0,8,0
C10393,62,Month-to-month,Bank transfer,116.95,7324.13,0,4,0
C10394,10,Month-to-month,Credit card,26.98,259.87,1,8,0
C10395,2,Month-to-month,Credit card,21.65,45.83,0,2,0
C10396,65,One year,Credit card,114.94,7944.15,1,1,0
C10397,60,One year,Bank transfer,91.02,5744.44,0,2,0
C10398,37,Month-to-month,Bank transfer,89.61,3310.55,0,3,0
C10399,52,Month-to-month,Mailed check,37.13,1914.17,1,4,0
C10400,13,One year,Electronic check,112.52,1450.29,0,8,0
C10401,63,Month-to-month,Electronic check,74.43,5087.07,1,8,0
C10402,22,One year,Mailed check,28.56,618.1,1,7,0
C10403,31,Month-to-month,Bank transfer,116.99,3364.25,1,3,0
C10404,65,Month-to-month,Bank transfer,90.61,5547.71,0,4,0
C10405,16,Two year,Mailed check,69.4,1168.31,1,2,0
C10406,53,One year,Bank transfer,107.5,5723.4,1,1,1
C10407,7,Month-to-month,Mailed check,118.32,884.46,1,3,0
C10408,69,Month-to-month,Credit card,28.45,1860.03,0,7,0
C10409,36,One year,Electronic check,112.5,4419.93,1,7,0
C10410,70,Month-to-month,Bank transfer,38.71,2932.7,1,4,0
C10411,69,One year,Mailed check,97.17,6636.09,0,5,0
C10412,22,One year,Electronic check,56.47,1256.4,1,5,0
C10413,32,Month-to-month,Credit card,90.39,2692.15,0,1,1
C10414,38,Month-to-month,Bank transfer,25.43,1054.66,1,4,0
C10415,20,Month-to-month,Credit card,27.38,565.49,0,4,0
C10416,67,Month-to-month,Electronic check,29.7,1886.56,1,8,0
C10417,31,Two year,Bank transfer,56.9,,0,7,0
C10418,66,Two year,Bank transfer,70.46,4226.11,1,8,0
C10419,65,Month-to-month,Electronic check,35.07,2147.69,0,2,0
C10420,54,Two year,Mailed check,72.85,4128.15,1,2,0
C10421,42,Month-to-month,Electronic check,23.54,1003.5,1,2,0
C10422,49,Month-to-month,Credit card,62.17,3151.92,0,7,0
C10423,8,One year,Electronic check,89.49,777.21,0,6,1
C10424,38,One year,Bank transfer,96.06,3573.71,1,7,0
C10425,68,Month-to-month,Credit card,99.27,6477.72,1,3,0
C10426,47,Two year,Electronic check,74.46,3178.9,0,2,0
C10427,70,Two year,Bank transfer,39.43,2711.88,1,4,0
C10428,20,Month-to-month,Bank transfer,37.82,809.56,0,1,0
C10429,59,One year,Electronic check,47.65,2585.43,0,5,0
C10430,42,Month-to-month,Mailed check,28.2,1141.24,0,4,0
C10431,39,One year,Mailed check,75.69,3222.69,1,6,0
